,base_lat,base_lon,predicted_lat,predicted_lon
725,49.9624659,20.599687,49.96243695,20.59962265025252
726,52.2296756,21.012228699999998,50.4182194,19.7931863
727,49.783829499999996,22.8066545,49.78391,22.806803
728,50.0870876,19.935450699999997,50.08753235,19.935678029325352
729,50.07880170000001,19.9815721,50.0788729,19.980346309430068
730,51.13816689999999,23.4568859,51.1382064,23.4568991
731,51.129558,23.472487,51.1295579,23.4724872
732,50.3935074,18.960389499999998,50.39350515,18.96043076293863
733,52.16741529999999,21.0669608,52.16689,21.066056
734,50.066962200000006,19.9199305,,
735,50.019268200000006,21.014955899999997,50.0233219,21.0136286
736,52.2042157,20.9527423,52.203858,20.952796
737,54.401625100000004,18.5899793,54.4016366,18.589716647094427
738,53.129441,23.153765,53.297672,23.226245
739,50.104195000000004,20.008773100000006,50.1043304,20.008713357596328
740,50.004983,19.8626171,50.00498260000001,19.86270139123469
741,52.223688,20.9467562,52.22446,20.946034
742,52.2450343,20.898198800000007,52.245179,20.898614
743,50.0457606,19.9668927,50.0457546,19.9668941
744,53.12445870000001,23.1775963,53.124639,23.177564
745,50.0796321,19.8952484,50.0796596,19.89528675014236
746,51.4344238,7.0304883999999985,51.43427415,7.030395611942412
747,49.808119700000006,19.0331372,49.80809975,19.033176641770044
748,50.0630182,19.980690399999997,50.06298375,19.980941092930642
749,50.24365299999999,19.015024,50.2436958,19.01532609164456
750,50.0222027,18.8936921,50.02221365,18.893667470016307
751,52.3923704,16.783424800000002,52.39236,16.7835
752,52.47136339999999,16.878564100000002,52.470575,16.875913600000004
753,52.2834935,20.931342,52.284012,20.931552
754,52.20746389999999,21.028829100000006,52.18572279999999,21.1871497
755,51.25107209999999,22.5298695,51.25115575,22.529540998703524
756,53.0137902,18.5984437,53.03223440000001,18.470089
757,50.44551729999999,18.8568702,50.4454591,18.8569892
758,52.386182700000006,16.864202300000002,,
759,52.2369934,21.2698197,52.2367115,21.2697515
760,52.290961700000004,17.8669392,52.29102675,17.86682010863636
761,52.2168341,20.8937838,52.216775,20.893892
762,50.0318523,21.9984253,50.03172865000001,21.99848385170409
763,49.92094969999999,19.0181155,49.92104385,19.018399180880465
764,51.45023320000001,7.031845,51.4502259,7.03182147252849
765,50.254508200000004,19.0616282,50.25440435,19.06194960955364
766,52.21170290000001,21.0509672,52.2319581,21.0067249
767,50.296831,19.032162,50.2968276,19.0321459
768,52.39429000000001,16.895376000000002,52.3943414,16.894909600000002
769,52.40416370000001,16.8643289,52.4040295,16.8642014
770,52.2643844,16.9063866,52.2644338,16.908263100000006
771,52.21765869999999,21.1396445,52.217712,21.139688
772,50.26502,18.9936663,50.26498255,18.993676339653607
773,52.27086689999999,20.9717685,52.27102,20.971689
774,51.535327,20.007453100000006,51.5355531,20.007551925961337
775,52.2437342,21.2400296,52.243635,21.240032
776,53.3852709,14.479830999999999,53.389881,14.484725
777,49.9194968,19.0108093,49.91953535,19.01077099497289
778,51.147162,17.069747,51.14708345,17.069726359971693
779,52.199668100000004,21.130136800000002,52.199672,21.130094
780,50.07062939999999,19.9336206,50.070579,19.93364
781,54.50747679999999,18.5407484,54.50749695,18.540737565598647
782,52.179842799999996,21.0541826,52.17998615,21.05422216753942
783,52.24087900000001,21.0155647,52.60762535,18.90868094415215
